               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096837,            0.039134,            0.023933,             0.76053,                   0,                   0,                   0,                   0,            0.090894,             0.02509,            0.025519,             0.71982,             0.00125,             0.00125,             0.08875
                   1,            0.079068,             0.02285,            0.020376,             0.59601,                   0,                   0,                   0,                   0,            0.077874,            0.018195,            0.023705,             0.54648,            0.002508,            0.002508,            0.077408
                   2,            0.074668,            0.019022,            0.021279,             0.43948,                   0,                   0,                   0,                   0,            0.081628,            0.016398,             0.02452,             0.35139,           0.0037581,           0.0037581,            0.066058
                   3,            0.093017,            0.014064,             0.02032,             0.27893,                   0,                   0,                   0,                   0,             0.11206,           0.0092035,            0.022241,             0.24023,           0.0049944,           0.0049944,            0.054694
                   4,             0.10456,           0.0086857,            0.019424,             0.20347,                   0,                   0,                   0,                   0,             0.11272,           0.0069676,            0.023535,             0.21356,            0.006211,            0.006211,            0.043311
                   5,             0.11016,           0.0072291,            0.019534,             0.19777,                   0,                   0,                   0,                   0,             0.11843,           0.0048713,            0.021921,             0.20824,           0.0074022,           0.0074022,            0.031902
                   6,             0.11336,           0.0057198,            0.018417,             0.19046,                   0,                   0,                   0,                   0,             0.11872,           0.0044121,            0.022662,             0.19988,           0.0085625,           0.0085625,            0.020463
                   7,             0.10748,           0.0066619,            0.019407,             0.18954,                   0,                   0,                   0,                   0,             0.11796,           0.0045166,            0.022283,             0.19318,           0.0096193,           0.0096193,           0.0096193
                   8,             0.11359,           0.0052605,            0.019024,             0.19125,                   0,                   0,                   0,                   0,             0.11647,           0.0051547,            0.024015,             0.19234,           0.0096193,           0.0096193,           0.0096193
                   9,             0.11248,           0.0052369,            0.018883,             0.18084,                   0,                   0,                   0,                   0,             0.11709,           0.0046117,            0.023012,             0.18738,           0.0095052,           0.0095052,           0.0095052
                  10,             0.11283,           0.0056359,            0.018989,             0.18533,                   0,                   0,                   0,                   0,             0.11654,           0.0046725,            0.022429,             0.18581,           0.0093773,           0.0093773,           0.0093773
                  11,              0.1109,           0.0059035,            0.018297,              0.1805,                   0,                   0,                   0,                   0,              0.1173,           0.0046425,            0.022694,              0.1849,           0.0092361,           0.0092361,           0.0092361
                  12,              0.1131,           0.0057039,            0.018012,             0.17889,                   0,                   0,                   0,                   0,             0.11682,           0.0046483,            0.019325,             0.18679,           0.0090821,           0.0090821,           0.0090821
                  13,             0.11175,           0.0054145,            0.017319,             0.17887,                   0,                   0,                   0,                   0,              0.1171,           0.0043065,            0.018739,             0.18524,           0.0089159,           0.0089159,           0.0089159
                  14,             0.11289,           0.0058991,             0.01731,             0.17933,                   0,                   0,                   0,                   0,              0.1165,           0.0044651,            0.018143,             0.18458,           0.0087382,           0.0087382,           0.0087382
                  15,             0.11455,           0.0056774,            0.015431,             0.18138,            0.055291,            0.019737,            0.022246,           0.0029414,             0.11617,           0.0044211,            0.017466,             0.18538,           0.0085497,           0.0085497,           0.0085497
                  16,               0.112,            0.005814,            0.013986,             0.17648,            0.049972,            0.019737,            0.010281,           0.0013792,             0.11679,           0.0042867,            0.015116,             0.18504,           0.0083511,           0.0083511,           0.0083511
