               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086197,            0.037349,            0.020746,             0.67205,          0.00052689,            0.012195,          0.00027346,          5.4692e-05,            0.083173,            0.023683,            0.023666,             0.66965,             0.00188,             0.00188,             0.08308
                   1,            0.070669,            0.021673,            0.019639,             0.51908,                   0,                   0,                   0,                   0,            0.074905,            0.018419,            0.021784,             0.44519,            0.003767,            0.003767,            0.066067
                   2,            0.076299,            0.016155,            0.017909,             0.30457,                   0,                   0,                   0,                   0,            0.096837,            0.012101,            0.022433,             0.26709,           0.0056421,           0.0056421,            0.049042
                   3,            0.093613,           0.0089691,            0.016807,              0.1986,                   0,                   0,                   0,                   0,             0.10965,           0.0064383,            0.021128,             0.21529,           0.0074965,           0.0074965,            0.031997
                   4,             0.10034,           0.0074025,            0.017479,             0.18329,                   0,                   0,                   0,                   0,             0.10925,            0.006984,            0.021548,             0.19273,           0.0093214,           0.0093214,            0.014921
                   5,              0.0991,           0.0068004,            0.017926,              0.1784,                   0,                   0,                   0,                   0,             0.11444,           0.0042372,            0.020407,             0.18965,           0.0098042,           0.0098042,           0.0098042
                   6,             0.10375,           0.0060986,            0.017082,             0.17198,                   0,                   0,                   0,                   0,             0.11134,           0.0053087,              0.0214,             0.18193,           0.0098042,           0.0098042,           0.0098042
                   7,             0.10666,           0.0067604,             0.01784,             0.17842,                   0,                   0,                   0,                   0,             0.11367,           0.0045267,            0.021269,             0.18001,           0.0097191,           0.0097191,           0.0097191
                   8,             0.10497,           0.0062152,            0.017487,             0.17447,                   0,                   0,                   0,                   0,             0.11215,           0.0046707,            0.020733,             0.18209,           0.0096193,           0.0096193,           0.0096193
                   9,             0.10138,           0.0061529,            0.017755,             0.16564,                   0,                   0,                   0,                   0,             0.11377,           0.0046465,            0.020672,             0.17753,           0.0095052,           0.0095052,           0.0095052
                  10,             0.10064,           0.0061222,            0.016671,             0.16566,                   0,                   0,                   0,                   0,             0.11364,           0.0044402,            0.020702,             0.17768,           0.0093773,           0.0093773,           0.0093773
                  11,             0.10406,           0.0052746,            0.017218,             0.16198,                   0,                   0,                   0,                   0,              0.1139,           0.0042611,            0.020484,             0.17604,           0.0092361,           0.0092361,           0.0092361
                  12,              0.1026,           0.0053342,            0.016261,             0.16161,                   0,                   0,                   0,                   0,              0.1123,           0.0048076,            0.020122,              0.1761,           0.0090821,           0.0090821,           0.0090821
                  13,            0.098083,           0.0060568,             0.01643,             0.15548,                   0,                   0,                   0,                   0,             0.11187,           0.0048531,            0.019371,             0.17626,           0.0089159,           0.0089159,           0.0089159
                  14,             0.10131,           0.0059965,            0.015334,             0.16115,                   0,                   0,                   0,                   0,             0.10821,           0.0060711,             0.01857,             0.17662,           0.0087382,           0.0087382,           0.0087382
                  15,             0.10037,           0.0080552,            0.014049,             0.16609,                   0,                   0,                   0,                   0,             0.10266,           0.0075991,            0.015929,             0.17737,           0.0085497,           0.0085497,           0.0085497
                  16,            0.093994,           0.0086182,            0.013969,             0.16187,                   0,                   0,                   0,                   0,             0.10162,           0.0076305,             0.01415,             0.17668,           0.0083511,           0.0083511,           0.0083511
                  17,            0.093548,           0.0088069,            0.011053,             0.16158,            0.033797,            0.065789,            0.019083,           0.0038399,             0.10049,           0.0076579,            0.012384,             0.17641,           0.0081433,           0.0081433,           0.0081433
                  18,            0.091388,           0.0083764,            0.010701,             0.15775,           0.0075178,           0.0065789,           0.0021925,          0.00043851,             0.10208,           0.0071676,            0.011901,             0.17575,            0.007927,            0.007927,            0.007927
                  19,            0.097572,           0.0076701,            0.010016,             0.16424,                   0,                   0,                   0,                   0,             0.10134,           0.0072062,            0.011625,             0.17557,           0.0077031,           0.0077031,           0.0077031
                  20,            0.092868,           0.0083488,            0.009693,             0.16032,           0.0062308,            0.026316,           0.0033106,          0.00090038,             0.09969,           0.0072884,            0.011875,             0.17489,           0.0074725,           0.0074725,           0.0074725
                  21,            0.092932,           0.0084681,            0.010896,             0.15995,            0.031584,            0.059211,            0.012202,           0.0027039,             0.10067,           0.0070079,            0.011673,             0.17401,           0.0072361,           0.0072361,           0.0072361
                  22,            0.091936,             0.00781,            0.011625,             0.15759,             0.13749,             0.12019,            0.097037,            0.019945,             0.10118,           0.0067478,            0.010798,             0.17347,           0.0069948,           0.0069948,           0.0069948
                  23,            0.092882,           0.0078794,           0.0093045,             0.15739,              0.1963,             0.29669,            0.098336,            0.018841,            0.099515,            0.006853,            0.009755,             0.17354,           0.0067495,           0.0067495,           0.0067495
                  24,            0.090474,           0.0077334,             0.01031,             0.15648,             0.15915,             0.25818,            0.081368,            0.017242,            0.099006,           0.0067235,            0.010738,             0.17324,           0.0065013,           0.0065013,           0.0065013
                  25,            0.090803,           0.0079839,             0.00948,              0.1557,             0.18545,             0.14169,            0.081947,             0.01307,             0.10004,           0.0064013,            0.010238,             0.17296,           0.0062512,           0.0062512,           0.0062512
                  26,            0.089032,           0.0076608,           0.0094789,             0.15286,            0.068902,             0.23572,            0.044832,           0.0083913,             0.09987,           0.0064676,            0.010243,             0.17258,               0.006,               0.006,               0.006
                  27,            0.090519,           0.0078165,           0.0094593,             0.15472,            0.012657,             0.02439,           0.0038307,          0.00056461,             0.10153,            0.006257,           0.0095326,             0.17213,           0.0057488,           0.0057488,           0.0057488
                  28,             0.09034,           0.0069433,           0.0085122,             0.15161,             0.10745,             0.16704,            0.048692,            0.010678,            0.099142,           0.0067622,           0.0091022,             0.17159,           0.0054987,           0.0054987,           0.0054987
                  29,            0.094131,           0.0074785,           0.0074641,              0.1587,             0.20194,             0.20186,            0.089048,            0.018566,            0.098459,           0.0068069,           0.0098263,             0.17105,           0.0052505,           0.0052505,           0.0052505
                  30,            0.092677,           0.0076667,           0.0080904,               0.159,             0.16257,             0.21598,            0.099461,            0.021718,            0.097902,           0.0065837,           0.0086956,             0.17037,           0.0050052,           0.0050052,           0.0050052
                  31,            0.091314,           0.0077211,            0.006381,             0.15454,             0.14782,             0.14169,            0.066392,             0.01373,            0.098886,           0.0066049,           0.0092577,              0.1695,           0.0047639,           0.0047639,           0.0047639
                  32,            0.089014,            0.007211,           0.0076545,             0.14945,             0.12148,             0.16897,            0.074947,            0.015082,            0.099591,           0.0064181,           0.0092425,             0.16911,           0.0045275,           0.0045275,           0.0045275
                  33,             0.09007,           0.0072938,           0.0072005,             0.15113,              0.2219,             0.31162,             0.12521,            0.030811,            0.098298,           0.0065707,           0.0084099,             0.16816,           0.0042969,           0.0042969,           0.0042969
                  34,            0.087391,           0.0069289,           0.0070645,             0.14826,             0.23685,             0.25064,              0.1415,            0.032131,             0.09868,           0.0062981,           0.0071675,             0.16719,            0.004073,            0.004073,            0.004073
                  35,            0.092733,           0.0069902,           0.0069156,             0.15336,             0.08257,             0.15019,            0.043123,           0.0086911,            0.099567,           0.0062055,           0.0066844,             0.16652,           0.0038567,           0.0038567,           0.0038567
                  36,            0.094729,           0.0081268,           0.0081018,              0.1557,             0.15452,             0.27599,            0.082051,            0.018388,            0.099191,           0.0063176,           0.0067554,             0.16609,           0.0036489,           0.0036489,           0.0036489
                  37,            0.094718,           0.0080723,           0.0072937,              0.1565,             0.20472,             0.24009,             0.12325,            0.020936,            0.098639,           0.0062421,            0.006218,             0.16528,           0.0034503,           0.0034503,           0.0034503
                  38,            0.092688,           0.0075816,            0.007531,             0.15311,              0.2248,             0.27599,             0.16044,            0.035722,             0.09799,           0.0062815,           0.0076967,             0.16523,           0.0032618,           0.0032618,           0.0032618
                  39,            0.090103,           0.0073382,            0.006821,             0.14827,             0.21508,             0.22802,             0.13226,            0.029564,            0.098303,           0.0063683,           0.0061333,             0.16526,           0.0030841,           0.0030841,           0.0030841
                  40,            0.092797,           0.0075116,           0.0073946,             0.15401,             0.27359,             0.31162,             0.18164,            0.042454,            0.098339,           0.0063191,           0.0047853,             0.16465,           0.0029179,           0.0029179,           0.0029179
                  41,            0.089154,           0.0075075,           0.0053846,             0.14616,             0.22767,             0.35107,             0.16674,            0.037152,            0.098593,           0.0061106,           0.0063142,             0.16381,           0.0027639,           0.0027639,           0.0027639
                  42,            0.089497,           0.0067277,           0.0071213,              0.1464,             0.17567,             0.13046,            0.079011,            0.015293,            0.099084,           0.0061747,           0.0053681,             0.16338,           0.0026227,           0.0026227,           0.0026227
                  43,            0.090461,           0.0070037,           0.0060771,             0.14794,             0.21904,             0.18582,            0.076902,            0.021667,             0.09879,           0.0062404,           0.0048132,             0.16253,           0.0024948,           0.0024948,           0.0024948
                  44,            0.092686,           0.0073856,           0.0075254,             0.14955,             0.14216,             0.30135,            0.099921,            0.028789,             0.09867,            0.005996,           0.0061855,             0.16126,           0.0023807,           0.0023807,           0.0023807
                  45,            0.096293,           0.0072202,           0.0067228,              0.1563,             0.13045,             0.27503,            0.084713,            0.018908,            0.098576,           0.0060095,           0.0054152,              0.1611,           0.0022809,           0.0022809,           0.0022809
                  46,             0.09452,           0.0071125,           0.0055918,             0.15284,             0.22264,             0.20717,              0.1052,            0.019311,            0.099539,           0.0060617,           0.0047544,             0.16078,           0.0021958,           0.0021958,           0.0021958
                  47,            0.090736,           0.0069133,            0.007298,             0.14669,             0.10664,             0.21335,            0.054628,            0.011723,            0.098801,           0.0059958,           0.0050616,             0.16078,           0.0021257,           0.0021257,           0.0021257
                  48,            0.088009,           0.0068721,           0.0049711,             0.14313,              0.2722,             0.31547,             0.16835,            0.040516,            0.099073,           0.0063788,           0.0044372,             0.15959,           0.0020709,           0.0020709,           0.0020709
                  49,            0.089593,           0.0069858,           0.0056145,             0.14614,             0.29551,             0.42758,             0.22377,            0.055587,            0.098113,            0.006258,            0.004048,             0.16007,           0.0020315,           0.0020315,           0.0020315
